"","X","log2FoldChange_species_ref","padj_species_ref","SYMBOL_species_ref","log2FoldChange_human_ref","padj_human_ref","SYMBOL_human_ref","differs","significance","SYMBOL"
"275","ENSG00000142089",1.58486026877367,2.59887534547183e-10,"IFITM3",2.12306610583344,7.0193985397542e-24,"IFITM3","not","sig","IFITM3"
"276","ENSG00000143514",0.815943207106567,2.59887534547183e-10,"TP53BP2",0.814717036383995,2.92790509813904e-10,"TP53BP2","not","sig","TP53BP2"
"277","ENSG00000095752",1.614163942527,2.96296559223637e-10,"IL11",1.48767708808917,2.07799812034729e-09,"IL11","not","sig","IL11"
"278","ENSG00000204392",1.25424852747628,4.06453201244886e-10,"LSM2",1.16420581061321,6.18267566079802e-09,"LSM2","not","sig","LSM2"
"279","ENSG00000023330",0.67855883079274,4.09233100435123e-10,"ALAS1",0.686098239394062,2.57609931668719e-10,"ALAS1","not","sig","ALAS1"
"280","ENSG00000056558",1.61536081951399,4.09233100435123e-10,"TRAF1",1.74429674271764,8.12928847826298e-11,"TRAF1","not","sig","TRAF1"
"281","ENSG00000278540",-0.675357701775364,4.6422082794828e-10,"ACACA",-0.676993130210812,2.32279879308998e-10,"ACACA","not","sig","ACACA"
"282","ENSG00000197496",-0.645092096445812,4.86477483380694e-10,"SLC2A10",-0.624858219344146,2.88451392162062e-09,"SLC2A10","not","sig","SLC2A10"
"283","ENSG00000072121",0.557586583322848,5.22209100081085e-10,"ZFYVE26",0.557102482042203,5.24210541498456e-10,"ZFYVE26","not","sig","ZFYVE26"
"284","ENSG00000164619",-0.740560782571032,5.60199813146591e-10,"BMPER",-0.721612288335061,6.87780516756734e-10,"BMPER","not","sig","BMPER"
"285","ENSG00000172893",-0.860462878545087,5.84251151202812e-10,"DHCR7",-0.831400839467492,7.36783814877377e-09,"DHCR7","not","sig","DHCR7"
"286","ENSG00000126947",0.827019283097438,5.96967434963964e-10,"ARMCX1",0.832258843085437,6.25294564397443e-10,"ARMCX1","not","sig","ARMCX1"
"287","ENSG00000174808",1.99487929246596,6.36870316214651e-10,"BTC",1.97194895495918,4.5027369447857e-10,"BTC","not","sig","BTC"
"288","ENSG00000133121",0.550105882345422,6.5554501932613e-10,"STARD13",0.55235520244054,1.814144687766e-10,"STARD13","not","sig","STARD13"
"289","ENSG00000154309",0.712562485480794,6.68939727668862e-10,"DISP1",0.760193158871096,5.5383088613883e-11,"DISP1","not","sig","DISP1"
"290","ENSG00000138829",-1.34403331826782,6.98016587431059e-10,"FBN2",-1.33470288024376,4.65616029081867e-10,"FBN2","not","sig","FBN2"
"291","ENSG00000075643",1.46002062466553,7.36505201752808e-10,"MOCOS",1.47613683435083,1.64329794963942e-09,"MOCOS","not","sig","MOCOS"
"292","ENSG00000104687",-0.622779240088476,7.7955089979994e-10,"GSR",-0.455053742361834,3.85406737528031e-06,"GSR","not","sig","GSR"
"293","ENSG00000133067",3.15024668968441,8.64248740971918e-10,"LGR6",2.83146023199823,7.57739015887583e-09,"LGR6","not","sig","LGR6"
"294","ENSG00000182670",-1.06738218823243,9.04969237923169e-10,"TTC3",-1.10273742200687,2.68450299336491e-10,"TTC3","not","sig","TTC3"
"295","ENSG00000059758",0.744781311001548,9.17646412704621e-10,"CDK17",0.745026106309878,6.36396376013772e-10,"CDK17","not","sig","CDK17"
"296","ENSG00000115548",0.883268633804122,9.43804443491011e-10,"KDM3A",0.887225464927711,5.7275369372977e-10,"KDM3A","not","sig","KDM3A"
"297","ENSG00000140945",-1.09163523442361,9.4885015264537e-10,"CDH13",-1.16975113399985,5.09501895969379e-11,"CDH13","not","sig","CDH13"
"298","ENSG00000168310",0.767452081437923,9.4885015264537e-10,"IRF2",0.778186966592469,8.34289023462866e-10,"IRF2","not","sig","IRF2"
"299","ENSG00000062194",0.711956612104995,9.69306500678943e-10,"GPBP1",0.712628660458917,7.33468401468704e-10,"GPBP1","not","sig","GPBP1"
"300","ENSG00000101605",-0.969796809944191,9.88189567206334e-10,"MYOM1",-0.961040652889223,1.10407008158088e-09,"MYOM1","not","sig","MYOM1"
